Q05 Enrollment join
===================
enrollment_id  student_name  course_title              status    
-------------  ------------  ------------------------  ----------
1              Irene Cho     Python Starter Lab        active    
2              Min Ho        Python Starter Lab        active    
3              Grace Song    Data Dashboard Basics     active    
4              Leo Shin      Data Dashboard Basics     cancelled 
5              Nari Baek     Clear UX Microcopy        active    
6              Owen Yoo      HTML CSS Weekend          active    
7              Jia Nam       HTML CSS Weekend          active    
8              Noah Kang     Street Photo Walk         active    
9              Sumin Ahn     Confident Presentation    active    
10             Milo Ko       Tablet Drawing Studio     active    
11             Yena Ryu      Excel Macro Sprint        active    
12             Jae Won       Personal Budget Clinic    active    
13             Irene Cho     Data Dashboard Basics     active    
14             Min Ho        Clear UX Microcopy        active    
15             Grace Song    HTML CSS Weekend          waitlisted
16             Leo Shin      Street Photo Walk         active    
17             Nari Baek     Confident Presentation    active    
18             Owen Yoo      Tablet Drawing Studio     active    
19             Jia Nam       Excel Macro Sprint        cancelled 
20             Noah Kang     Home Cooking Foundations  active    
(20 row(s))
